점포명,주소,전화번호,비고,예약 가능 여부,운영 시간,latitude,longitude
논현힐탑,서울특별시 강남구 논현로 648 (논현동),1522-3232,리저브 매장 2번,True,[URL],37.5115947398167,127.032276584624
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)...",1522-3232,리저브 매장 2번,True,07:30 - 20:30,37.5173531693456,127.023380583993
매봉역,서울특별시 강남구 남부순환로 2736 (도곡동)...,1522-3232,리저브 매장 2번,False,10:00 - 23:00,37.4859208193182,127.045237420016
청담역6번출구,서울특별시 강남구 삼성로 634 (삼성동),1522-3232,리저브 매장 2번,True,08:00 - 22:00,37.5166377998582,127.051864456444
강남자곡,서울특별시 강남구 자곡로 172 (자곡동) 107~109호...,1522-3232,리저브 매장 2번,False,09:30 - 21:00,,
대치한티,서울특별시 강남구 선릉로 324 (대치동),1522-3232,리저브 매장 2번,True,07:00 - 20:00,37.4985303841214,127.052094163626
개포동,서울특별시 강남구 선릉로 34 (개포동),1522-3232,리저브 매장 2번,True,10:00 - 23:00,37.4828272746585,127.060754455027
수서역사거리,서울특별시 강남구 광평로 280 (수서동),1522-3232,리저브 매장 2번,False,08:30 - 21:30,37.4873191631489,127.103108072457
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),1522-3232,리저브 매장 2번,True,09:00 - 20:00,37.5131101543222,127.059758068383
강남차여성병원,서울특별시 강남구 봉은사로 156 (역삼동),1522-3232,리저브 매장 2번,False,07:30 - 22:00,37.5063635013995,127.031963761818
센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),1522-3232,리저브 매장 2번,True,10:00 - 21:00,37.5028813541774,127.041356540268
도산사거리,서울특별시 강남구 언주로 727 (논현동),1522-3232,리저브 매장 2번,False,08:00 - 23:00,37.5196000023598,127.034111771548
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),1522-3232,리저브 매장 2번,True,[URL],37.4672742584166,127.099929765276
대치삼성,서울특별시 강남구 영동대로 237 (대치동),1522-3232,리저브 매장 2번,True,09:30 - 22:30,37.5004651329806,127.067064140734
언주역,서울특별시 강남구 봉은사로 222 (역삼동),1522-3232,리저브 매장 2번,False,07:00 - 21:30,37.507769814405,127.036540554606
신논현역3번출구,서울특별시 강남구 강남대로 488 (논현동),1522-3232,리저브 매장 2번,True,10:00 - 22:00,37.5058752765223,127.024267428303
강남파이낸스센터,서울특별시 강남구 테헤란로 152 (역삼동),1522-3232,리저브 매장 2번,False,08:30 - 20:30,37.5000242405515,127.036508620542
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동),1522-3232,리저브 매장 2번,True,[URL],37.4981646510326,127.028307900881
삼성역,서울특별시 강남구 테헤란로 620 (대치동),1522-3232,리저브 매장 2번,True,09:00 - 23:00,37.5091979690111,127.065578760717
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),1522-3232,리저브 매장 2번,False,07:30 - 21:00,37.5037441420961,127.044854487099
강남논현,서울특별시 강남구 강남대로 512 (논현동),1522-3232,리저브 매장 2번,True,10:00 - 22:00,37.5078978596254,127.023338614644
삼성동,서울특별시 강남구 영동대로96길 12 (삼성동)...,1522-3232,리저브 매장 2번,False,08:00 - 20:00,37.5107387873332,127.063581755415
